ticker,name,sector,price,market_cap,current_assets,total_liabilities,ncav,ncav_per_share,ocf,ocf_positive,ncav_ratio,is_netnet,margin_pct,ocf_3y_all_positive,ocf_3y_count_positive,ocf_3y_values,has_dividend,has_buyback,revenue_declining,value_trap_flag
1833.T,Okumura Corporation,Industrials,5670.0,203386693230.0,259572000000.0,246927000000.0,12645000000.0,352.52,7616000000.0,True,16.084,False,-2312.7,False,1,"[7616000000.0, -11828000000.0, -17139000000.0]",True,True,False,False
1835.T,"Totetsu Kogyo Co., Ltd.",Industrials,4185.0,144138769785.0,148622293000.0,69870439000.0,78751854000.0,2286.52,5241817000.0,True,1.83,False,-174.5,True,3,"[5241817000.0, 4160881000.0, 4839833000.0]",True,True,False,False
1840.T,"Tsuchiya Holdings Co., Ltd.",Consumer Cyclical,232.0,5979797216.0,14138699000.0,13948526000.0,190173000.0,7.38,1250270000.0,True,31.444,False,-4616.6,False,2,"[1250270000.0, 3224924000.0, -1858095000.0]",True,True,True,False
1844.T,"Ohmori Co.,Ltd.",Industrials,465.0,8702963715.0,10870169000.0,6313479000.0,4556690000.0,243.46,1475606000.0,True,1.91,False,-186.5,False,2,"[1475606000.0, -1950494000.0, 504044000.0]",True,False,False,False
1847.T,"Ichiken Co., Ltd.",Real Estate,2685.0,38977994640.0,68376000000.0,34417000000.0,33959000000.0,2339.27,-3232000000.0,False,1.148,False,-72.2,False,2,"[-3232000000.0, 8144000000.0, 1882000000.0]",True,False,False,False
1848.T,Fuji P.S Corporation,Industrials,608.0,10740223936.0,27865000000.0,25448000000.0,2417000000.0,136.83,-2334000000.0,False,4.444,False,-566.5,False,0,"[-2334000000.0, -1086000000.0, -1162000000.0]",True,False,False,False
1850.T,"Nankai Tatsumura Construction Co., Ltd.",Industrials,409.0,11463264678.0,31013000000.0,15377000000.0,15636000000.0,557.88,8447000000.0,True,0.733,False,-10.0,False,2,"[8447000000.0, -6133000000.0, 1522000000.0]",True,False,False,False
1852.T,Asanuma Corporation,Industrials,819.0,66115262304.0,98578000000.0,67972000000.0,30606000000.0,379.13,18414000000.0,True,2.16,False,-224.0,False,2,"[18414000000.0, 5184000000.0, -3169000000.0]",True,False,False,False
1853.T,"Mori-Gumi Co., Ltd.",Industrials,319.0,10447153662.0,21906000000.0,10401000000.0,11505000000.0,351.3,-4229000000.0,False,0.908,False,-36.2,False,2,"[-4229000000.0, 680000000.0, 799000000.0]",True,False,False,False
1860.T,Toda Corporation,Industrials,1633.5,483581405340.0,458380000000.0,570377000000.0,-111997000000.0,-378.32,26413000000.0,True,,False,,False,2,"[26413000000.0, 62149000000.0, -30845000000.0]",True,True,False,False
1861.T,"Kumagai Gumi Co.,Ltd.",Industrials,1381.0,234656118597.0,357413000000.0,280704000000.0,76709000000.0,451.45,8233000000.0,True,3.059,False,-358.9,False,2,"[8233000000.0, 16971000000.0, -18826000000.0]",True,True,False,False
1866.T,Kitano Construction Corp.,Industrials,1015.0,24685567340.0,41519000000.0,28362000000.0,13157000000.0,540.98,-6169000000.0,False,1.876,False,-181.4,False,2,"[-6169000000.0, 1917000000.0, 16520000000.0]",True,True,True,False
1867.T,UEKI Corporation,Industrials,2458.0,16161765402.0,32700693000.0,21835514000.0,10865179000.0,1652.46,2649543000.0,True,1.487,False,-123.1,False,2,"[2649543000.0, -670530000.0, 577539000.0]",True,True,False,False
1870.T,"Yahagi Construction Co.,Ltd.",Industrials,1848.0,79799811168.0,108192000000.0,75385000000.0,32807000000.0,759.74,-17191000000.0,False,2.432,False,-264.9,False,2,"[-17191000000.0, 10235000000.0, 4152000000.0]",True,False,False,False
1871.T,"PS Construction Co., Ltd.",Industrials,2264.0,105999225744.0,113648000000.0,76981000000.0,36667000000.0,783.16,-17473000000.0,False,2.891,False,-333.6,False,2,"[-17473000000.0, 15952000000.0, 15944000000.0]",True,True,False,False
1873.T,"Nihon House Holdings Co., Ltd.",Consumer Cyclical,305.0,12199447950.0,12399000000.0,20365000000.0,-7966000000.0,-199.16,3450000000.0,True,,False,,True,3,"[3450000000.0, 2520000000.0, 2726000000.0]",True,False,True,False
1878.T,"Daito Trust Construction Co.,Ltd.",Real Estate,3017.0,980187989032.0,756441000000.0,755353000000.0,1088000000.0,3.35,85612000000.0,True,900.908,False,-135036.2,True,3,"[85612000000.0, 90876000000.0, 82102000000.0]",True,True,False,False
1879.T,Shinnihon Corporation,Industrials,2199.0,128618428092.0,158693000000.0,50641000000.0,108052000000.0,1847.37,2654000000.0,True,1.19,False,-78.6,True,3,"[2654000000.0, 11699000000.0, 10585000000.0]",True,False,False,False
